Estimated Overall Performance
-------------------------------
Samples/s:                                     5887.1
Compute Samples/s:                             5887.1
Transmission Samples/s:                        5897.5
Active PEs:                                    37%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
| layer_norm21.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm11.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm2.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm8.compute_core                                                                  |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| fc15.compute_core.fc                                                                      |      6047.9 |            6047.9 |                16940.4 |        703 |                 97% |
| fc15.compute_core                                                                         |      6047.9 |            6047.9 |                16940.4 |        819 |                 89% |
| fc15                                                                                      |      6047.9 |            6047.9 |                16940.4 |        880 |                 85% |
| fc15.compute_core.fc.lib_fc                                                               |      6047.9 |            6047.9 |                16940.4 |        703 |                 97% |
| attention14.compute_core.attn_fc_q_proj                                                   |      6070.0 |            6070.0 |                16356.2 |        484 |                 97% |
| fc1                                                                                       |      6070.0 |            6070.0 |                15024.0 |        825 |                 83% |
| fc19.compute_core.fc                                                                      |      6070.0 |            6070.0 |                15661.9 |        624 |                 97% |
| fc1.compute_core.fc                                                                       |      6070.0 |            6070.0 |                15024.0 |        638 |                 97% |
| attention14.compute_core.attn_fc_q_proj.lib_fc                                            |      6070.0 |            6070.0 |                16356.2 |        484 |                 97% |
| fc19.compute_core                                                                         |      6070.0 |            6070.0 |                15661.9 |        854 |                 79% |
| fc17.compute_core                                                                         |      6070.0 |            6070.0 |                15661.9 |        854 |                 79% |
| fc19                                                                                      |      6070.0 |            6070.0 |                15661.9 |        930 |                 75% |
| fc17.compute_core.fc                                                                      |      6070.0 |            6070.0 |                15661.9 |        624 |                 97% |
| fc17.compute_core.fc.lib_fc                                                               |      6070.0 |            6070.0 |                15661.9 |        624 |                 97% |
| fc19.compute_core.fc.lib_fc                                                               |      6070.0 |            6070.0 |                15661.9 |        624 |                 97% |
| fc1.compute_core.fc.lib_fc                                                                |      6070.0 |            6070.0 |                15024.0 |        638 |                 97% |
| attention14.compute_core                                                                  |      6070.0 |            6070.0 |                16356.2 |       2200 |                 66% |
| fc1.compute_core                                                                          |      6070.0 |            6070.0 |                15024.0 |        768 |                 87% |
| attention14                                                                               |      6070.0 |            6070.0 |                16356.2 |       2288 |                 63% |
| fc17                                                                                      |      6070.0 |            6070.0 |                15661.9 |        930 |                 75% |
| fc24.compute_core.fc                                                                      |      6081.2 |            6081.2 |                14499.2 |        602 |                 97% |
| fc24.compute_core                                                                         |      6081.2 |            6081.2 |                14499.2 |        801 |                 80% |
| fc24.compute_core.fc.lib_fc                                                               |      6081.2 |            6081.2 |                14499.2 |        602 |                 97% |
| fc24                                                                                      |      6081.2 |            6081.2 |                14499.2 |        900 |                 75% |
| fc13.compute_core.fc                                                                      |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc3                                                                                       |      6103.5 |            6103.5 |                15886.7 |        900 |                 74% |
| fc2.compute_core.fc                                                                       |      6103.5 |            6103.5 |                17475.3 |        688 |                 96% |
| fc4.compute_core.fc                                                                       |      6103.5 |            6103.5 |                15886.7 |        645 |                 96% |
| fc5.compute_core.fc                                                                       |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc2.compute_core.fc.lib_fc                                                                |      6103.5 |            6103.5 |                17475.3 |        688 |                 96% |
| fc13                                                                                      |      6103.5 |            6103.5 |                17475.3 |        938 |                 81% |
| fc2.compute_core                                                                          |      6103.5 |            6103.5 |                17475.3 |        810 |                 87% |
| fc3.compute_core                                                                          |      6103.5 |            6103.5 |                15886.7 |        826 |                 79% |
| fc3.compute_core.fc.lib_fc                                                                |      6103.5 |            6103.5 |                15886.7 |        627 |                 96% |
| fc4.compute_core                                                                          |      6103.5 |            6103.5 |                15886.7 |        867 |                 80% |
| fc5.compute_core.fc.lib_fc                                                                |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc4                                                                                       |      6103.5 |            6103.5 |                15886.7 |        936 |                 76% |
| fc5.compute_core                                                                          |      6103.5 |            6103.5 |                17475.3 |        858 |                 85% |
| fc2                                                                                       |      6103.5 |            6103.5 |                17475.3 |        874 |                 82% |
| fc21.compute_core.fc.lib_fc                                                               |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc5                                                                                       |      6103.5 |            6103.5 |                17475.3 |        938 |                 81% |
| fc3.compute_core.fc                                                                       |      6103.5 |            6103.5 |                15886.7 |        627 |                 96% |
| fc13.compute_core.fc.lib_fc                                                               |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc13.compute_core                                                                         |      6103.5 |            6103.5 |                17475.3 |        858 |                 85% |
| fc4.compute_core.fc.lib_fc                                                                |      6103.5 |            6103.5 |                15886.7 |        645 |                 96% |
| fc21                                                                                      |      6103.5 |            6103.5 |                17475.3 |        938 |                 81% |
| fc21.compute_core.fc                                                                      |      6103.5 |            6103.5 |                17475.3 |        704 |                 96% |
| fc21.compute_core                                                                         |      6103.5 |            6103.5 |                17475.3 |        858 |                 85% |
| attention4                                                                                |      6120.4 |            6120.4 |                16769.3 |       2128 |                 66% |
| attention4.compute_core.attn_core_bwd                                                     |      6120.4 |            6120.4 |                23057.7 |        512 |                 96% |
| attention2.compute_core.attn_core_bwd                                                     |      6120.4 |            6120.4 |                23057.7 |        512 |                 96% |
| attention2                                                                                |      6120.4 |            6120.4 |                16769.3 |       2128 |                 66% |
| attention2.compute_core                                                                   |      6120.4 |            6120.4 |                16769.3 |       2016 |                 69% |
| attention4.compute_core                                                                   |      6120.4 |            6120.4 |                16769.3 |       2016 |                 69% |
| fc18.compute_core                                                                         |      6126.0 |            6126.0 |                15230.8 |        741 |                 82% |
| fc18                                                                                      |      6126.0 |            6126.0 |                15230.8 |        800 |                 78% |
| fc10                                                                                      |      6126.0 |            6126.0 |                15230.8 |        800 |                 78% |
| fc10.compute_core.fc.lib_fc                                                               |      6126.0 |            6126.0 |                15230.8 |        592 |                 96% |
| fc18.compute_core.fc.lib_fc                                                               |      6126.0 |            6126.0 |                15230.8 |        592 |                 96% |
| fc18.compute_core.fc                                                                      |      6126.0 |            6126.0 |                15230.8 |        592 |                 96% |
| fc10.compute_core                                                                         |      6126.0 |            6126.0 |                15230.8 |        741 |                 82% |
| fc10.compute_core.fc                                                                      |      6126.0 |            6126.0 |                15230.8 |        592 |                 96% |
| mlm_loss1.compute_core.max_reduce                                                         |      6137.4 |            6137.4 |                18865.4 |       1351 |                 96% |
| attention16.compute_core.attn_core_bwd                                                    |      6143.0 |            6143.0 |                23057.7 |        512 |                 96% |
| attention15.compute_core.attn_core_bwd                                                    |      6143.0 |            6143.0 |                23057.7 |        512 |                 96% |
